bmrb_id,str_path,status,n_points,record_type,out_txt,name,inchi,inchikey,smiles
bmse000116,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000116/bmse000116.str,no_1H_data_found,0,,,spermidine,,,
bmse000117,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000117/bmse000117.str,no_1H_data_found,0,,,spermine,,,
bmse000118,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000118/bmse000118.str,no_1H_data_found,0,,,succinic acid disodium salt,,,
bmse000119,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000119/bmse000119.str,no_1H_data_found,0,,,sucrose,,,
bmse000120,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000120/bmse000120.str,no_1H_data_found,0,,,taurine,,,
bmse000121,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000121/bmse000121.str,no_1H_data_found,0,,,L-(-)-threitol,,,
bmse000123,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000123/bmse000123.str,no_1H_data_found,0,,,trans 4 hydroxy l proline,,,
bmse000124,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000124/bmse000124.str,no_1H_data_found,0,,,trans-cinnamic acid,,,
bmse000125,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000125/bmse000125.str,no_1H_data_found,0,,,D-Trehalose,,,
bmse000126,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000126/bmse000126.str,no_1H_data_found,0,,,uric acid,,,
bmse000127,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000127/bmse000127.str,no_1H_data_found,0,,,xanthine,,,
bmse000128,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000128/bmse000128.str,no_1H_data_found,0,,,xanthosine,,,
bmse000129,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000129/bmse000129.str,no_1H_data_found,0,,,xylitol,,,
bmse000130,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000130/bmse000130.str,no_1H_data_found,0,,,pyridoxamine,,,
bmse000131,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000131/bmse000131.str,no_1H_data_found,0,,,pyridoxamine-5-phosphate,,,
bmse000132,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000132/bmse000132.str,no_1H_data_found,0,,,homovanillic acid,,,
bmse000133,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000133/bmse000133.str,no_1H_data_found,0,,,isonicotinic acid,,,
bmse000134,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000134/bmse000134.str,no_1H_data_found,0,,,ethacrynic acid,,,
bmse000135,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000135/bmse000135.str,no_1H_data_found,0,,,cyanuric acid,,,
bmse000137,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000137/bmse000137.str,no_1H_data_found,0,,,itaconic acid,,,
bmse000138,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000138/bmse000138.str,no_1H_data_found,0,,,D-cellobiose,,,
bmse000139,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000139/bmse000139.str,no_1H_data_found,0,,,Amygdalin,,,
bmse000140,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000140/bmse000140.str,no_1H_data_found,0,,,D-Glucuronate,,,
bmse000141,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000141/bmse000141.str,no_1H_data_found,0,,,"D-Galactono-1,4-lactone",,,
bmse000142,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000142/bmse000142.str,no_1H_data_found,0,,,(+-)-Acetylcarnitine,,,
